"Kichik biznes va xususiy tadbirkorlikning iqtisodiyot tarmoqlaridagi asosiy ko'rsatkichlari hajmi/Объем основных показателей малого бизнеса и частного предпринимательства в отраслях экономики/The volume of key indicators of small business and private entrepreneurship in sectors of the economy",,,,,,,,,,,,,,,,,,,,,,,,,,
"2000-2002 yillar kichik va o`rta biznes/Данные за 2000-2002 гг. малый и средний бизнес/data for 2000-2002 small and medium-sized businesses / 2010-2019 yillar uchun ma'lumotlar aniqlik kiritilgan (qayta baholab chiqilgan) ma'lumotlarni hisobga olgan holda keltirilgan/ Данные за 2010-2019 гг. приведены с учетом уточненных (пересмотренных) данных/ Data for 2010-2019 given adjusted (revised) data / 2021-2022 yil dastlabki ma'lumotlar/2021-2022 год предварительные данные/2021-2022 preliminary data",,,,,,,,,,,,,,,,,,,,,,,,,,
Ko‘rsatkichlar,Кўрсаткичлар,Показатели,Indicators,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022Q2
"Sanoat (mlrd.so'm)","Саноат (млрд.сўм)","Промышленность (млрд.сум)","Industry
(billion soums)",244,355.1,690.6,659.6,892.1,1104.8,1589.3,2432.4,3489.5,5072.3,10132.9,13586.8,17114.6,23312,30907,39643.5,50654.5,61367.8,87962,83344.2,103020.78353522,121719.221063,58201.3
"Qurilish  (mlrd.so'm)","Қурилиш  (млрд.сўм)","Строительство  (млрд.сум)","Construction  (billion soums)",149,230.4,306.9,331.9,556.6,739.2,1009.8,1514.2,2090,2996,4163.2,6188.3,7925.5,10377.7,13944.9,16954,19671,22469.4,37451.7,53960.9,63866.6,77762,45203.8
"Bandlik 
(ming kishi)","Бандлик (минг киши)","Занятость 
(тыс. человек)","Employment 
(thousand people)",4467.1,4733,4994.1,5436.7,5974.9,6602.5,7234.1,7743.1,8071.1,8370.1,8643.9,8950.7,9239.7,9604,9950.8,10170.4,10397.5,10541.5,10128.8,10318.9,9865.6963445892,10070.7,-
"Eksport 
(mln.AQSH.dol)","Экспорт (млн.АҚШ.дол)","Экспорт
(млн.долл.США)","Export
(million US dollars)",334.3,293.6,224.3,272.1,354.4,325.8,714.6,1333.5,1419.8,1723.6,1782.8,2826.2,1910.5,3752.3,3657.8,3377.7,3139.2,2759.3,3810.8,4714.8,3100.9493538399,3711.2,1748.6
"Import (mln.AQSH.dol)","Импорт (млн.АҚШ.дол)","Импорт (млн.долл.США)","Import 
(million US dollars)",672.1,836.2,675.7,998,1249.3,1379.9,1633.5,2155,3460.4,4011.2,3287.9,3895.5,4946,5909.4,6352.6,5523.1,5676.8,7511.9,10916.2,14972.2,10943.253366167,12389,6505
"Savdo (mlrd.so'm)","Савдо (млрд.сўм)","Торговля (млрд.сум)","Trade 
(billion soums)",760.3,1148.5,1500.8,1818.5,4237.9,4918.9,6638.2,8410.8,10724.2,13672.9,18616.1,24741.9,32242.9,40564.5,50197.8,61972.3,78935.6,92973,114896.4,138920.7141086,164106.10298248,204787.4,103729.1
"Qishloq, o'rmon va baliq xo'jaligi (mlrd.so'm)","Қишлоқ, ўрмон ва балиқ хўжалиги (млрд.сўм)","Сельское, лесное и рыбное хозяйство (млрд.сум)","Agriculture, forestry and fisheries 
(billion soums)",1021,1568.6,2439.6,3196.9,3669.4,5019.7,7089.8,9078.2,11052.1,13328.1,31900.4,46704.5,56926.6,67510.7,82957.2,101197.5,118011.4,152010.5,191759.2,219466.9,253238.2,307280.2,128068.4
"Xizmatlar (mlrd.so'm)","Хизматлар (млрд.сўм)","Услуги (млрд.сум)","Services (billion soums)",x,x,x,x,x,x,x,6202.7,8534.7,11182.1,15214.1,19556.5,24841.8,31409.1,40187.9,47269.6,61346.2,69212.7,84433.4,103106.6,114052.7,144812.735609,79313.8
"Yuk tashish (mln.tonna)","Юк ташиш (млн.тонна)","Перевозки грузов (млн.тонна)","Freight transportation
(million tonns)",46.8,54.7,75.5,87.4,118.6,156.8,187.3,258.7,315.3,379.2,255.2,292,304.3,352.8,416.1,472.8,538.6,548.8,611.7,641,638.90115071079,678.9189,272.4
"Yuk aylanmasi (mln.tonna-km)","Юк айланмаси (млн.тонна-км)"," Грузооборот (млн.тонна-км)","Freight turnover (million ton-km)",2304.3,2708.5,3338.1,4419.7,5935.8,8249.9,10393,12782,15700.9,16945.8,6084.5,6894.3,7271.9,7919.1,8632.9,9225.1,10072.4,10444.4,11657.7,12152.3,12304.594445007,13108.0892,6693.7
"Yoʻlovchi tashish (mln.yo'lovchi)","Йўловчи ташиш (млн.йўловчи)","Перевозки пассажиров (млн.человек)","Passenger transportation (million people)",972.9,1083.8,1231.9,1507,1895,2490.4,2803,3412.3,4017.8,4358.8,3084.5,3416.2,3687.9,3953.8,4224.5,4486.3,4866.5,5037.5,5242.6,5345,4904.7849316528,5237.6004,2621.3
"Yoʻlovchi aylanmasi (mln.pass.km)","Йўловчи айланмаси (млн.пасс.км)","Пассажирооборот  (млн.пасс.км)","Passenger turnover (million people km)",10181.9,11963,14053,18410.7,23368.6,29971.5,33902,41019.4,47252.6,51472,67874.1,74320.7,80210,86183.3,93024.7,99872.8,107789.7,111435,115335.2,117412.7,107766.72286361,114681.5417,58128.2
,,,
